metric,family,ndcg_at_1_mean,ndcg_at_1_variance,ndcg_at_3_mean,ndcg_at_3_variance,selected_percentile_mean,selected_percentile_variance,top1_overlap_mean,top1_overlap_variance,top3_overlap_mean,top3_overlap_variance,top5_overlap_mean,top5_overlap_variance,ndcg_at_5_mean,ndcg_at_5_variance,regret_at_1_mean,regret_at_1_variance,n_seeds,n_tasks
Anisotropy,Cluster-organized,0.7301161246294113,0.0020957042549020377,0.7519424902428358,0.0003308710891929624,0.676984126984127,0.001205173427395651,0.0,0.0,0.19444444444444442,0.011316872427983538,0.31666666666666665,0.004074074074074073,0.7189118569224128,0.0002480066789733658,0.048375575963803735,3.0336813383849683e-05,4,3
Curvature,Cluster-organized,0.3327771149476565,0.0005259161065132356,0.41571409122833947,0.00030029267605494967,0.1547619047619047,0.0010103300579491058,0.0,0.0,0.05555555555555555,0.004115226337448559,0.05,0.0011111111111111113,0.40274240689308294,0.00033048148939013636,0.13732999147294417,8.419867656431535e-06,4,3
DiME,Cluster-organized,0.43273629539512903,0.000326002866894833,0.5317247621106462,0.0002574211083770181,0.26666666666666666,0.00245233896027547,0.0,0.0,0.0,0.0,0.0,0.0,0.5550986723568543,0.00034756368930838403,0.11077932742655724,4.251211431579466e-06,4,3
Harmora,Cluster-organized,0.9456861628754161,0.0010008826852771638,0.940367754491705,0.00017018124520057465,0.9801587301587302,0.0001503317376333247,0.41666666666666663,0.027777777777777776,0.41666666666666663,0.019547325102880653,0.44999999999999996,0.007037037037037036,0.8154609420695421,6.637420565531039e-05,0.011631282089094166,5.8477193333540776e-05,4,3
InfoNCE,Cluster-organized,0.7301161246294113,0.0020957042549020377,0.7336285060000791,0.00033073639400874093,0.676984126984127,0.001205173427395651,0.0,0.0,0.19444444444444442,0.011316872427983538,0.2833333333333333,0.0011111111111111107,0.6800165566792347,0.00029876652166763585,0.048375575963803735,3.0336813383849683e-05,4,3
LiDAR,Cluster-organized,0.23640052611722645,0.0004787344764094475,0.3626817052988279,0.0011455981071975862,0.07380952380952377,4.9550684471319363e-05,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.46977779736551384,0.0010435077320171769,0.14736279268730837,2.2806223603243504e-05,4,3
Matrix entropy,Cluster-organized,0.7310553913795852,0.0022780850001703438,0.7337589279469496,0.00034918502355565424,0.6769841269841269,0.000916267741664564,0.0,0.0,0.19444444444444442,0.011316872427983538,0.2833333333333333,0.0011111111111111107,0.6801117830136489,0.00028844002016879393,0.04824521411969321,6.112854805890985e-05,4,3
Participation ratio,Cluster-organized,0.5073633464047154,0.0004930474795319279,0.6511078926431448,0.0001557813404131985,0.5896825396825397,0.0004325186864869393,0.0,0.0,0.0,0.0,0.05,0.0011111111111111111,0.6891894388749558,0.00030173832499603856,0.09282351325163604,7.15526682322477e-05,4,3
Spectral gap,Cluster-organized,0.5073633464047154,0.0004930474795319279,0.6462466248828156,0.0002525743896145197,0.5896825396825397,0.0004325186864869393,0.0,0.0,0.0,0.0,0.05,0.0011111111111111111,0.6862080245199547,0.00021009062983814463,0.09282351325163604,7.15526682322477e-05,4,3
Anisotropy,Core class-organized,0.648011650279092,0.01327142454019075,0.6562600509612626,0.005248349683304072,0.6170634920634921,0.025026245065927617,0.0,0.0,0.0,0.0,0.05,0.0011111111111111113,0.6567197248429714,0.0032632094355619,0.1487051891463656,0.002754353256087173,4,3
