metric,task,seed,ndcg_at_1,ndcg_at_3,selected_percentile,top1_overlap,top3_overlap,top5_overlap,ndcg_at_5,regret_at_1,family
Anisotropy,ArXivHierarchicalClusteringP2P,11,0.6770796680500474,0.7874597535332705,0.8476190476190476,0.0,0.3333333333333333,0.4,0.7218607542094496,0.0491607180843519,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,22,0.7009533924461366,0.8210818595774286,0.8285714285714286,0.0,0.3333333333333333,0.4,0.7388148555429158,0.0494769189456146,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,33,0.7690384947414144,0.8398132080763072,0.9047619047619048,0.0,0.3333333333333333,0.4,0.7608291019116624,0.0343678280162577,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,44,0.8435567916557452,0.866460315574915,0.923809523809524,0.0,0.0,0.4,0.7603771497613036,0.025725590673932,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,11,0.2236311048146286,0.2642958367978053,0.0857142857142857,0.0,0.0,0.0,0.2972872717839704,0.1181927819632709,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,22,0.2524939260471064,0.3079111300509818,0.0761904761904762,0.0,0.0,0.0,0.3455997061676231,0.1236740243764861,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,33,0.3917460964919107,0.3437201316464779,0.2,0.0,0.0,0.0,0.3543907695264212,0.0905101719118898,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,44,0.3197442241834031,0.353205416152044,0.0571428571428571,0.0,0.0,0.0,0.3634572922646144,0.1118615619524179,Cluster-organized
DiME,ArXivHierarchicalClusteringP2P,11,0.1296492018747717,0.3576174236662592,0.0476190476190476,0.0,0.0,0.0,0.4016198447586979,0.1325003909253889,Cluster-organized
DiME,ArXivHierarchicalClusteringP2P,22,0.2503012570209941,0.4412369318974949,0.0666666666666666,0.0,0.0,0.0,0.4929910026445749,0.1240367989572343,Cluster-organized
DiME,ArXivHierarchicalClusteringP2P,33,0.2487558855395102,0.4352954473020194,0.0666666666666666,0.0,0.0,0.0,0.4623283084497758,0.1117875833684807,Cluster-organized
DiME,ArXivHierarchicalClusteringP2P,44,0.1982152671471627,0.398238910305951,0.0285714285714285,0.0,0.0,0.0,0.445492123314236,0.1318458376319636,Cluster-organized
Harmora,ArXivHierarchicalClusteringP2P,11,0.9620129235914804,0.91245621146433,0.9904761904761904,0.0,0.3333333333333333,0.4,0.7784471359526438,0.0057830733137528,Cluster-organized
Harmora,ArXivHierarchicalClusteringP2P,22,0.8917677593973526,0.8886151504465685,0.9809523809523808,0.0,0.3333333333333333,0.4,0.769883792721114,0.0179069003303604,Cluster-organized
Harmora,ArXivHierarchicalClusteringP2P,33,0.920847558696336,0.9044791719470736,0.9809523809523808,0.0,0.3333333333333333,0.4,0.7599247907195682,0.0117781423650906,Cluster-organized
Harmora,ArXivHierarchicalClusteringP2P,44,0.9327839387705644,0.9332994912192536,0.961904761904762,0.0,0.3333333333333333,0.4,0.7883442637794158,0.0110530389666859,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringP2P,11,0.6770796680500474,0.7874597535332705,0.8476190476190476,0.0,0.3333333333333333,0.4,0.7218607542094496,0.0491607180843519,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringP2P,22,0.7009533924461366,0.8210818595774286,0.8285714285714286,0.0,0.3333333333333333,0.4,0.7388148555429158,0.0494769189456146,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringP2P,33,0.7690384947414144,0.8398132080763072,0.9047619047619048,0.0,0.3333333333333333,0.4,0.7608291019116624,0.0343678280162577,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringP2P,44,0.8435567916557452,0.866460315574915,0.923809523809524,0.0,0.0,0.4,0.7603771497613036,0.025725590673932,Cluster-organized
LiDAR,ArXivHierarchicalClusteringP2P,11,0.020491464359506,0.1671942818687794,0.019047619047619,0.0,0.0,0.2,0.3464303831298244,0.1491183373033994,Cluster-organized
LiDAR,ArXivHierarchicalClusteringP2P,22,0.0802847025645718,0.2055213028471578,0.019047619047619,0.0,0.0,0.2,0.4092394932641441,0.1521658432993874,Cluster-organized
LiDAR,ArXivHierarchicalClusteringP2P,33,0.1100929062750078,0.2241552911658026,0.0095238095238095,0.0,0.0,0.2,0.4142587009551197,0.1324210885850699,Cluster-organized
LiDAR,ArXivHierarchicalClusteringP2P,44,0.1574998015262821,0.2937456054686606,0.019047619047619,0.0,0.0,0.2,0.4803475324341386,0.1385411068849212,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringP2P,11,0.6770796680500474,0.7874597535332705,0.8476190476190476,0.0,0.3333333333333333,0.4,0.7218607542094496,0.0491607180843519,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringP2P,22,0.7009533924461366,0.8210818595774286,0.8285714285714286,0.0,0.3333333333333333,0.4,0.7388148555429158,0.0494769189456146,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringP2P,33,0.7690384947414144,0.8398132080763072,0.9047619047619048,0.0,0.3333333333333333,0.4,0.7608291019116624,0.0343678280162577,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringP2P,44,0.8435567916557452,0.866460315574915,0.923809523809524,0.0,0.0,0.4,0.7603771497613036,0.025725590673932,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringP2P,11,0.7542049341574889,0.7298073652656258,0.9333333333333332,0.0,0.0,0.0,0.7475716184656754,0.0374193283694541,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringP2P,22,0.7609279534294939,0.8295971091477218,0.9047619047619048,0.0,0.0,0.0,0.8313436543515119,0.0395541964748776,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringP2P,33,0.7210774020505292,0.7757045308619106,0.8380952380952381,0.0,0.0,0.0,0.7827973337735818,0.0415045956054136,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringP2P,44,0.7621372302109249,0.7973145967016567,0.8857142857142857,0.0,0.0,0.0,0.8240846702151651,0.0391142595253877,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringP2P,11,0.7542049341574889,0.7298073652656258,0.9333333333333332,0.0,0.0,0.0,0.7475716184656754,0.0374193283694541,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringP2P,22,0.7609279534294939,0.8295971091477218,0.9047619047619048,0.0,0.0,0.0,0.8313436543515119,0.0395541964748776,Cluster-organized
