metric,family,task,ndcg_at_1_mean,ndcg_at_1_variance,ndcg_at_3_mean,ndcg_at_3_variance,selected_percentile_mean,selected_percentile_variance,top1_overlap_mean,top1_overlap_variance,top3_overlap_mean,top3_overlap_variance,top5_overlap_mean,top5_overlap_variance,ndcg_at_5_mean,ndcg_at_5_variance,regret_at_1_mean,regret_at_1_variance,n_seeds
Anisotropy,Cluster-organized,ArXivHierarchicalClusteringP2P,0.7476570867233359,0.005605441700227154,0.8287037841904803,0.0011027129203062301,0.8761904761904762,0.0020559334845049165,0.0,0.0,0.25,0.027777777777777776,0.4,0.0,0.7454704653563329,0.00035327085307193935,0.03968276393003905,0.00013626943882965754,4
Curvature,Cluster-organized,ArXivHierarchicalClusteringP2P,0.2969038378842622,0.005619290314990595,0.31728312866182723,0.0016282711074616495,0.10476190476190475,0.004172335600907031,0.0,0.0,0.0,0.0,0.0,0.0,0.34018375993565725,0.0008709791993048084,0.11105963505101618,0.00021097604166261472,4
DiME,Cluster-organized,ArXivHierarchicalClusteringP2P,0.20673040289560968,0.0032261932027658753,0.40809717829293113,0.001494460060311351,0.05238095238095233,0.0003325774754346182,0.0,0.0,0.0,0.0,0.0,0.0,0.45060781979182113,0.0014532320304692962,0.12504265272076687,9.286992979738094e-05,4
Harmora,Cluster-organized,ArXivHierarchicalClusteringP2P,0.9268530451139334,0.0008461452316827298,0.9097125062693064,0.0003454533293552363,0.9785714285714285,0.00014361300075585527,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.7741499957931854,0.0001468332017511906,0.011630288743972424,2.4646953097477776e-05,4
InfoNCE,Cluster-organized,ArXivHierarchicalClusteringP2P,0.7476570867233359,0.005605441700227154,0.8287037841904803,0.0011027129203062301,0.8761904761904762,0.0020559334845049165,0.0,0.0,0.25,0.027777777777777776,0.4,0.0,0.7454704653563329,0.00035327085307193935,0.03968276393003905,0.00013626943882965754,4
LiDAR,Cluster-organized,ArXivHierarchicalClusteringP2P,0.09209221868134193,0.003289420701255387,0.2226541203376001,0.0028085266300479097,0.016666666666666625,2.2675736961451132e-05,0.0,0.0,0.0,0.0,0.2,0.0,0.4125690274458067,0.0029940622682814275,0.14306159401819446,8.440888466380659e-05,4
Matrix entropy,Cluster-organized,ArXivHierarchicalClusteringP2P,0.7476570867233359,0.005605441700227154,0.8287037841904803,0.0011027129203062301,0.8761904761904762,0.0020559334845049165,0.0,0.0,0.25,0.027777777777777776,0.4,0.0,0.7454704653563329,0.00035327085307193935,0.03968276393003905,0.00013626943882965754,4
Participation ratio,Cluster-organized,ArXivHierarchicalClusteringP2P,0.7495868799621093,0.0003734159980343003,0.7831059004942287,0.0017529445533088096,0.8904761904761904,0.0016024187452758848,0.0,0.0,0.0,0.0,0.0,0.0,0.7964493192014835,0.0015189111955182504,0.03939809499378325,2.8192641419590616e-06,4
Spectral gap,Cluster-organized,ArXivHierarchicalClusteringP2P,0.7495868799621093,0.0003734159980343003,0.7831059004942287,0.0017529445533088096,0.8904761904761904,0.0016024187452758848,0.0,0.0,0.0,0.0,0.0,0.0,0.7964493192014835,0.0015189111955182504,0.03939809499378325,2.8192641419590616e-06,4
Anisotropy,Cluster-organized,ArXivHierarchicalClusteringS2S,0.5190679628556154,0.004281911090625651,0.5174758596336148,0.0008311795891307564,0.1833333333333333,0.0062509448223733895,0.0,0.0,0.0,0.0,0.1,0.013333333333333336,0.5516474152478346,0.0008538509833511255,0.08576658400329823,1.876624958487922e-05,4
Curvature,Cluster-organized,ArXivHierarchicalClusteringS2S,0.5584662982218493,0.0006437723536427172,0.6133004787801724,0.0003606238584556462,0.25,0.0013529856386999258,0.0,0.0,0.0,0.0,0.0,0.0,0.6183013011231134,0.0006880006898754804,0.07920594371024553,2.4789788235075297e-05,4
DiME,Cluster-organized,ArXivHierarchicalClusteringS2S,0.6472557906833829,0.0028314311318902914,0.6145893174613375,0.0007638821133088431,0.5023809523809524,0.023665910808767964,0.0,0.0,0.0,0.0,0.0,0.0,0.6316270165266112,0.0007820648357102189,0.06320266070972061,8.1282416310911e-05,4
Harmora,Cluster-organized,ArXivHierarchicalClusteringS2S,1.0,0.0,0.9815214772659502,5.075126759310482e-05,1.0,0.0,1.0,0.0,0.5833333333333333,0.027777777777777773,0.5,0.039999999999999994,0.9768022086596636,8.2373082790547e-05,0.0,0.0,4
InfoNCE,Cluster-organized,ArXivHierarchicalClusteringS2S,0.5190679628556154,0.004281911090625651,0.462533906905345,0.000873021129060294,0.1833333333333333,0.0062509448223733895,0.0,0.0,0.0,0.0,0.0,0.0,0.4349615145183001,0.0012979560604641993,0.08576658400329823,1.876624958487922e-05,4
LiDAR,Cluster-organized,ArXivHierarchicalClusteringS2S,0.25917464880321966,0.0021649521213057497,0.36337487537259633,0.0016058744753685197,0.019047619047619,6.046863189720303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.42045100697307813,0.0016404440529762968,0.13284127380521893,6.598084237666933e-05,4
Matrix entropy,Cluster-organized,ArXivHierarchicalClusteringS2S,0.5190679628556154,0.004281911090625651,0.462533906905345,0.000873021129060294,0.1833333333333333,0.0062509448223733895,0.0,0.0,0.0,0.0,0.0,0.0,0.4349615145183001,0.0012979560604641993,0.08576658400329823,1.876624958487922e-05,4
Participation ratio,Cluster-organized,ArXivHierarchicalClusteringS2S,0.0,0.0,0.3574712548669447,0.0006287176515851598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4226826514050742,0.0007500105661889366,0.17996665680491217,0.00029734636157690105,4
Spectral gap,Cluster-organized,ArXivHierarchicalClusteringS2S,0.0,0.0,0.34288745158595724,0.0011090395388599708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41549016368847536,0.0015487181332927051,0.17996665680491217,0.00029734636157690105,4
Anisotropy,Cluster-organized,BiorxivClusteringP2P.v2,0.9236233243092825,0.0003495618755434004,0.909647826904412,0.00018489399477124554,0.9714285714285714,0.00030234315948601305,0.0,0.0,0.3333333333333333,0.07407407407407407,0.45,0.009999999999999997,0.8596176901630709,0.00013313860638722286,0.019677379958073924,1.8846598356648767e-05,4
Curvature,Cluster-organized,BiorxivClusteringP2P.v2,0.14296120873685786,0.0024885303234278627,0.31655866624301876,0.00046901473927704975,0.10952380952380948,0.0003930461073318213,0.0,0.0,0.16666666666666666,0.037037037037037035,0.15000000000000002,0.01,0.24974215962047813,0.0002509185329064762,0.22172439565757074,0.00022160387851857292,4
DiME,Cluster-organized,BiorxivClusteringP2P.v2,0.44422269260639435,0.004097573305539628,0.57248779057767,0.0008312255370019945,0.2452380952380952,0.0013529856386999238,0.0,0.0,0.0,0.0,0.0,0.0,0.5830611807521304,0.0006223161655573106,0.14409266884918426,0.0004209291023415972,4
Harmora,Cluster-organized,BiorxivClusteringP2P.v2,0.9102054435123147,0.005909829172389685,0.9298692799398582,0.0006686535028247593,0.9619047619047619,0.0016931216931216908,0.25,0.25,0.3333333333333333,0.07407407407407407,0.45,0.009999999999999997,0.6954306217557773,0.0003035109525462365,0.023263557523310073,0.00039694900419468844,4
InfoNCE,Cluster-organized,BiorxivClusteringP2P.v2,0.9236233243092825,0.0003495618755434004,0.909647826904412,0.00018489399477124554,0.9714285714285714,0.00030234315948601305,0.0,0.0,0.3333333333333333,0.07407407407407407,0.45,0.009999999999999997,0.8596176901630709,0.00013313860638722286,0.019677379958073924,1.8846598356648767e-05,4
LiDAR,Cluster-organized,BiorxivClusteringP2P.v2,0.3579347108671178,0.0024682337197598977,0.5020161201862875,0.0012686113954726108,0.18571428571428567,0.00027210884353741523,0.0,0.0,0.0,0.0,0.0,0.0,0.5763133576776566,0.0006724768299611396,0.16618551023851175,0.00023558236781826415,4
Matrix entropy,Cluster-organized,BiorxivClusteringP2P.v2,0.9264411245598043,0.0038652865665023185,0.9100390927450235,0.000653520436025353,0.9714285714285713,0.0004232804232804216,0.0,0.0,0.3333333333333333,0.07407407407407407,0.45,0.009999999999999997,0.8599033691663136,0.0004022648436933926,0.01928629442574235,0.00028193123081043985,4
Participation ratio,Cluster-organized,BiorxivClusteringP2P.v2,0.772503159252037,0.0031816075939679945,0.8127465225682609,0.0016270324565145799,0.8785714285714286,0.0022600151171579754,0.0,0.0,0.0,0.0,0.15000000000000002,0.01,0.8484363460183098,0.0015429923994820063,0.0591057879562127,0.0002532215381740719,4
Spectral gap,Cluster-organized,BiorxivClusteringP2P.v2,0.772503159252037,0.0031816075939679945,0.8127465225682609,0.0016270324565145799,0.8785714285714286,0.0022600151171579754,0.0,0.0,0.0,0.0,0.15000000000000002,0.01,0.8466845906699051,0.0015141618961852972,0.0591057879562127,0.0002532215381740719,4
Anisotropy,Core class-organized,Banking77Classification.v2,0.893638125440451,0.004809877140548508,0.8680684703693435,0.0018716208325549784,0.9404761904761906,0.0007634164777021952,0.0,0.0,0.0,0.0,0.1,0.013333333333333336,0.8306867953889066,0.0013494917363514804,0.056818181818181795,0.001275510204081637,4
Curvature,Core class-organized,Banking77Classification.v2,0.9933333333333333,0.0001777777777777801,0.980736406609365,7.660586914770951e-05,0.9964285714285714,2.0786092214663935e-05,0.5,0.3333333333333333,0.5833333333333333,0.027777777777777773,0.55,0.009999999999999997,0.9773050972232524,0.0001598867457992468,0.003246753246753225,4.2165626581210426e-05,4
DiME,Core class-organized,Banking77Classification.v2,0.6683729739252995,0.0042408771357063555,0.6593566732267305,0.0037969817073232478,0.580952380952381,0.03956160241874528,0.0,0.0,0.0,0.0,0.0,0.0,0.6713554940344898,0.0022606858426180766,0.17857142857142852,0.0004638218923933236,4
Harmora,Core class-organized,Banking77Classification.v2,0.9933333333333333,0.0001777777777777801,0.9814403715239592,0.0001479018285930828,0.9964285714285714,2.0786092214663935e-05,0.5,0.3333333333333333,0.5833333333333333,0.027777777777777773,0.5,0.04,0.8989271086534728,0.00021638949990412915,0.003246753246753225,4.2165626581210426e-05,4
InfoNCE,Core class-organized,Banking77Classification.v2,0.7041869274136716,0.000722639049052899,0.8223215125665522,0.0011521064318312227,0.7202380952380952,0.0031349206349206332,0.0,0.0,0.0,0.0,0.1,0.013333333333333336,0.797620474576459,0.0009884510240286176,0.16071428571428567,0.0002916455838533768,4
LiDAR,Core class-organized,Banking77Classification.v2,0.7219230091613813,0.0009762943890202448,0.7255203826613565,0.0014518407939142861,0.7797619047619048,0.0023337112622826887,0.0,0.0,0.0,0.0,0.0,0.0,0.7315632890212638,0.0017509632838135253,0.15097402597402595,0.00031975600157418065,4
Matrix entropy,Core class-organized,Banking77Classification.v2,0.893638125440451,0.004809877140548508,0.8556958715677184,0.001730340780181647,0.9404761904761906,0.0007634164777021952,0.0,0.0,0.0,0.0,0.1,0.013333333333333336,0.818566624942077,0.0014093661298358586,0.056818181818181795,0.001275510204081637,4
Participation ratio,Core class-organized,Banking77Classification.v2,0.7041869274136716,0.000722639049052899,0.7080728111495205,0.0018377703823918609,0.7202380952380952,0.0031349206349206332,0.0,0.0,0.0,0.0,0.0,0.0,0.7160305183326159,0.0016384538197305057,0.16071428571428567,0.0002916455838533768,4
Spectral gap,Core class-organized,Banking77Classification.v2,0.7041869274136716,0.000722639049052899,0.7044974849582746,0.0014871098683684372,0.7202380952380952,0.0031349206349206332,0.0,0.0,0.0,0.0,0.0,0.0,0.7173151150614345,0.0013981621561327227,0.16071428571428567,0.0002916455838533768,4
Anisotropy,Core class-organized,EmotionClassification.v2,0.5099206349206349,0.006590031074158061,0.551389637799251,0.0004120740735319651,0.4285714285714285,0.029085411942554814,0.0,0.0,0.0,0.0,0.0,0.0,0.5660359380582508,0.00011961014048029999,0.16013071895424838,0.0014381932874820266,4
Curvature,Core class-organized,EmotionClassification.v2,0.6095521541950113,0.010367494125390122,0.6098931200607336,0.004646367663555881,0.6023809523809524,0.032191987906273624,0.0,0.0,0.0,0.0,0.0,0.0,0.5733335884789501,0.0025678070375113188,0.12745098039215685,0.0014381932874820231,4
DiME,Core class-organized,EmotionClassification.v2,0.27794784580498855,0.011316148278409358,0.3353460212713716,0.00923678480138758,0.10595238095238092,0.013157596371882088,0.0,0.0,0.0,0.0,0.0,0.0,0.36212918617428735,0.004789004110546404,0.23202614379084968,0.00046990473749412696,4
Harmora,Core class-organized,EmotionClassification.v2,0.7322845804988662,0.0068407143028538986,0.8823503062316789,0.0032256497508942063,0.8047619047619048,0.021587301587301596,0.0,0.0,0.5833333333333333,0.027777777777777773,0.35000000000000003,0.010000000000000002,0.8426212825180386,0.0030995822720768416,0.08660130718954248,0.0006372193031170337,4
InfoNCE,Core class-organized,EmotionClassification.v2,0.6136904761904763,0.0026662362475854493,0.5703691590160469,0.0008095328984018278,0.6333333333333333,0.023960695389266817,0.0,0.0,0.0,0.0,0.0,0.0,0.580214765510664,0.0005479544066316845,0.12418300653594765,0.00011391629999857597,4
LiDAR,Core class-organized,EmotionClassification.v2,0.5827097505668933,0.007988453884955353,0.6668976249693342,0.008332506029150371,0.5821428571428571,0.01099584278155707,0.0,0.0,0.08333333333333333,0.027777777777777776,0.05,0.010000000000000002,0.6749286778856787,0.012430887794367315,0.13725490196078433,0.0019080980249761524,4
Matrix entropy,Core class-organized,EmotionClassification.v2,0.6136904761904763,0.0026662362475854493,0.5703691590160469,0.0008095328984018278,0.6333333333333333,0.023960695389266817,0.0,0.0,0.0,0.0,0.0,0.0,0.5508944557259018,0.0013529639868959664,0.12418300653594765,0.00011391629999857597,4
Participation ratio,Core class-organized,EmotionClassification.v2,0.6136904761904763,0.0026662362475854493,0.5674414452288402,0.0012416800659381417,0.6333333333333333,0.023960695389266817,0.0,0.0,0.0,0.0,0.1,0.04000000000000001,0.6688999635640016,0.0003096761994035413,0.12418300653594765,0.00011391629999857597,4
Spectral gap,Core class-organized,EmotionClassification.v2,0.5099206349206349,0.006590031074158061,0.6328997498186238,0.001916103249068361,0.4285714285714285,0.029085411942554814,0.0,0.0,0.0,0.0,0.1,0.04000000000000001,0.6694945234291677,0.003480851841543205,0.16013071895424838,0.0014381932874820266,4
Anisotropy,Core class-organized,HUMEEmotionClassification,0.5404761904761903,0.09544217687074835,0.5493220447151931,0.0351320527370062,0.48214285714285715,0.12370937263794408,0.0,0.0,0.0,0.0,0.05,0.010000000000000002,0.5734364410817567,0.01909805274776941,0.22916666666666669,0.024884259259259255,4
