fraction,method,method_label,n_tasks,utility_spearman_mean,utility_spearman_ci_low,utility_spearman_ci_high,ndcg_at_k_mean,ndcg_at_k_ci_low,ndcg_at_k_ci_high,coverage_regret_at_k_mean,coverage_regret_at_k_ci_low,coverage_regret_at_k_ci_high,rank_reliability_mean,rank_reliability_ci_low,rank_reliability_ci_high
0.25,adaptive_precision,Adaptive precision,11,0.49119584933856864,0.393366908692705,0.5827546920708544,0.8300904248370387,0.7755708799598121,0.8733481986272931,0.026637915728859606,0.009553622619636297,0.04904145466170581,0.9892929622607771,0.9843330125549211,0.9930329103843644
0.25,fixed_precision,Fixed precision,11,0.4796605002818382,0.3786339094520715,0.5731391839859844,0.8197569468993471,0.767810406987423,0.865308387530189,0.029015239712176955,0.010362730381150905,0.053147516875455006,0.9900395223071677,0.9869186872416122,0.9925728911404802
0.25,no_precision,No precision,11,0.48583311570122745,0.38589342815042893,0.5781336169847605,0.8268245789374113,0.7738220265410244,0.8709343707422987,0.02647869414548942,0.010358620030665651,0.04837297835034739,0.9895889446521859,0.9858697229506802,0.9925495018533133
0.25,shuffled_precision,Shuffled precision,11,0.47979920079609517,0.3829241747945671,0.5717122790358086,0.8207759819687749,0.7712641370637884,0.8640998599974388,0.026205911035212134,0.010370824299818865,0.04736597158663829,0.9901511970920102,0.9869159343036975,0.9930603760071098
0.5,adaptive_precision,Adaptive precision,11,0.4795954096093286,0.3835169039911539,0.5720442563662361,0.8139609284085858,0.7615219261749163,0.8594562185217082,0.03127219788973305,0.01291027892732607,0.05451762609547946,0.9950604217916471,0.9934756958879629,0.9963778477451403
0.5,fixed_precision,Fixed precision,11,0.4707256544996055,0.3768933071890104,0.5654197648793511,0.8047603110618273,0.754628030673104,0.85206606567938,0.03073860871564895,0.012279527721614773,0.05444959546591077,0.9948004767677269,0.9938477887160834,0.9955677809485827
0.5,no_precision,No precision,11,0.47470893690103805,0.37530304922456104,0.569409565077447,0.8128765354338252,0.7595434351658211,0.8598346463887213,0.030402972011114318,0.011940000774986805,0.05382055776696748,0.9952423900210462,0.9939388047440985,0.9964111142527715
0.5,shuffled_precision,Shuffled precision,11,0.4685726942788299,0.3729755862687615,0.561179922779941,0.8061692987992962,0.7575810997973766,0.8506498346858794,0.0296036482914357,0.011930081638527748,0.05186368751791,0.9950326326412153,0.9940753782146706,0.9958280323846115
0.75,adaptive_precision,Adaptive precision,11,0.45988890634108004,0.36082891829576313,0.556851590992069,0.7966286511452939,0.7480929961210805,0.8449995083797123,0.03401264442551855,0.015337741135191181,0.05674857615932031,0.997489562949755,0.9965748623482672,0.9982446977641218
0.75,fixed_precision,Fixed precision,11,0.4634873278398821,0.3689928995000977,0.5575130106696526,0.7981345416467979,0.7486031195472688,0.8475271589978708,0.031074245420183586,0.01254274282988301,0.05408490177090515,0.9965994581364428,0.9953847157923952,0.9975711372760497
0.75,no_precision,No precision,11,0.47001536541937555,0.3746114707394111,0.5633919774717158,0.8057874890061177,0.7568438295141844,0.8522405274143177,0.031164396465155068,0.01287681049952559,0.05496300782545081,0.9966379397000515,0.9954257783718258,0.9976686624217115
0.75,shuffled_precision,Shuffled precision,11,0.4635015903256997,0.3708531195000202,0.5546020028124942,0.8014328993380354,0.7544453322547209,0.8480834920866012,0.031399826570799226,0.013359375198794831,0.054152217568408816,0.9970082507441741,0.9961744464290652,0.997708654057687
1.0,adaptive_precision,Adaptive precision,11,0.4613239612646232,0.3659114337554135,0.5528700776173116,0.7975413084997814,0.7495123145484055,0.8453407658858576,0.031074245420183586,0.012957929412999357,0.054158619954379456,1.0,1.0,1.0
1.0,fixed_precision,Fixed precision,11,0.4613239612646232,0.36630871354707395,0.5548720006626492,0.7975413084997814,0.748456957784293,0.846282437745018,0.031074245420183586,0.012488955037745206,0.05460574430456921,1.0,1.0,1.0
1.0,no_precision,No precision,11,0.4686032382921091,0.37214013270422247,0.5602821581468819,0.8035071750851127,0.7551575284529795,0.850780227621616,0.031074245420183586,0.012747606901506474,0.05414118063691323,1.0,1.0,1.0
1.0,shuffled_precision,Shuffled precision,11,0.4613239612646232,0.3640404856569282,0.5540329658090578,0.7975413084997814,0.7492969006885338,0.846047616351118,0.031074245420183586,0.0127084146727364,0.05371633302831588,1.0,1.0,1.0
