task,task_type,fraction,method,utility_spearman,preference_accuracy,ndcg_at_k,regret_at_1,coverage_regret_at_k,near_oracle_hit_5pct,rank_reliability,shortlist_jaccard_at_k,top1_agreement
ArXivHierarchicalClusteringP2P,Clustering,0.25,adaptive_precision,0.5339535247361334,0.7181119377516892,0.8602508511626015,0.04406309829733238,0.0,1.0,0.994499519114426,0.980952380952381,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.25,fixed_precision,0.5325862584620349,0.7196563643395942,0.8581905154812105,0.04406309829733238,0.0,1.0,0.9929971395064563,0.9666666666666667,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.25,no_precision,0.5358461662561042,0.7215720718205191,0.8592805422039447,0.04406309829733238,0.0,1.0,0.9937700436209754,0.9619047619047619,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.25,shuffled_precision,0.5281650079113434,0.7164074799734427,0.8537659730910585,0.046074282489831496,0.0,1.0,0.9933160537599047,0.9595238095238096,0.9805714285714286
ArXivHierarchicalClusteringP2P,Clustering,0.5,adaptive_precision,0.5205568716997289,0.7173278936384527,0.8390693493843485,0.04406309829733238,0.014768014999523876,0.8857142857142858,0.9951469089916295,0.9047619047619048,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.5,fixed_precision,0.5157618530537785,0.7143068194745213,0.834438203517454,0.04406309829733238,0.014768014999523876,0.8857142857142858,0.9947366360347727,0.9619047619047619,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.5,no_precision,0.5242706734259529,0.7186992014196983,0.8420108255155192,0.04406309829733238,0.011076011249642909,0.9142857142857144,0.9927248962217907,0.9238095238095239,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.5,shuffled_precision,0.5229912462692587,0.7152357689515453,0.840070180836093,0.05184474973328227,0.012715987143662292,0.9091428571428571,0.9933080098783205,0.9563809523809523,0.9731428571428572
ArXivHierarchicalClusteringP2P,Clustering,0.75,adaptive_precision,0.5059188016951992,0.7105265293712498,0.8314178823384181,0.04406309829733238,0.018460018749404845,0.8571428571428571,0.9993312401883829,1.0,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.75,fixed_precision,0.5017696465025658,0.7081152884382699,0.8262240201234772,0.04406309829733238,0.018460018749404845,0.8571428571428571,0.997897779239394,1.0,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.75,no_precision,0.5093789440373292,0.7115284549818711,0.829798685597474,0.04406309829733238,0.018460018749404845,0.8571428571428571,0.9980053486885785,1.0,1.0
ArXivHierarchicalClusteringP2P,Clustering,0.75,shuffled_precision,0.5096572128492626,0.7093885559575,0.8360477663676477,0.04929709043409575,0.01210977229960958,0.9062857142857144,0.9975273711381786,0.976095238095238,0.9834285714285714
ArXivHierarchicalClusteringP2P,Clustering,1.0,adaptive_precision,0.4968435911914173,0.7073707865633331,0.8238963143072856,0.04406309829733238,0.018460018749404845,0.8571428571428571,1.0,1.0,1.0
ArXivHierarchicalClusteringP2P,Clustering,1.0,fixed_precision,0.4968435911914173,0.7073707865633331,0.8238963143072856,0.04406309829733238,0.018460018749404845,0.8571428571428571,1.0,1.0,1.0
ArXivHierarchicalClusteringP2P,Clustering,1.0,no_precision,0.5048355991834254,0.7095352887278353,0.829798685597474,0.04406309829733238,0.018460018749404845,0.8571428571428571,1.0,1.0,1.0
ArXivHierarchicalClusteringP2P,Clustering,1.0,shuffled_precision,0.49684359119141736,0.7073707865633333,0.8238963143072856,0.04406309829733238,0.018460018749404842,0.8571428571428571,1.0,1.0,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.25,adaptive_precision,0.675899851701094,0.767114752742082,0.9313130697319539,0.06716501435768217,0.0,1.0,0.9885707522291373,0.8428571428571429,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.25,fixed_precision,0.6723642196313004,0.7694573004635117,0.9288969067802463,0.06716501435768217,0.0,1.0,0.9876762243967213,0.9027210884353742,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.25,no_precision,0.6747216013799865,0.7701924783291243,0.9301308473979661,0.06716501435768217,0.0,1.0,0.9881755945917438,0.9027210884353742,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.25,shuffled_precision,0.6640887941871794,0.7655402420353974,0.9263612601435708,0.06465158736857164,0.0,1.0,0.9893057866357245,0.935469387755102,0.9902857142857143
ArXivHierarchicalClusteringS2S,Clustering,0.5,adaptive_precision,0.67025140077314,0.7693528541851523,0.9259750727830004,0.061884705557029816,0.0,1.0,0.9957980218539225,0.9714285714285714,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.5,fixed_precision,0.6716025092919503,0.7694090588500526,0.9277301829800307,0.061884705557029816,0.0,1.0,0.9938863000353683,0.9476190476190476,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.5,no_precision,0.6701548141299695,0.7676517726579838,0.9282472301826734,0.061884705557029816,0.0,1.0,0.9949932055522118,0.9476190476190476,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.5,shuffled_precision,0.6669511795037261,0.7669455478682808,0.9272962624082763,0.06525296643668711,0.0,1.0,0.9958845344717394,0.9733333333333334,0.9788571428571429
ArXivHierarchicalClusteringS2S,Clustering,0.75,adaptive_precision,0.6811711394195867,0.7803155023030799,0.9267176477026303,0.061884705557029816,0.0,1.0,0.9990235478806907,1.0,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.75,fixed_precision,0.6695784960381234,0.7702463375134183,0.9262712133810403,0.061884705557029816,0.0,1.0,0.9968011739812982,0.9333333333333333,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.75,no_precision,0.6679124353906962,0.7686521056583169,0.9258057069949021,0.061884705557029816,0.0,1.0,0.9969841090586432,0.9428571428571428,1.0
ArXivHierarchicalClusteringS2S,Clustering,0.75,shuffled_precision,0.6720445554445555,0.7706118243661101,0.924312735152189,0.0558463959592917,0.0,1.0,0.9963663435942939,0.9762857142857142,0.9822857142857143
ArXivHierarchicalClusteringS2S,Clustering,1.0,adaptive_precision,0.6688377461048269,0.7673922350940984,0.9267930236856202,0.061884705557029816,0.0,1.0,1.0,1.0,1.0
ArXivHierarchicalClusteringS2S,Clustering,1.0,fixed_precision,0.6688377461048269,0.7673922350940984,0.9267930236856202,0.061884705557029816,0.0,1.0,1.0,1.0,1.0
ArXivHierarchicalClusteringS2S,Clustering,1.0,no_precision,0.6674330638305793,0.7663984462742226,0.9267930236856202,0.061884705557029816,0.0,1.0,1.0,1.0,1.0
ArXivHierarchicalClusteringS2S,Clustering,1.0,shuffled_precision,0.6688377461048269,0.7673922350940984,0.9267930236856202,0.0618847055570298,0.0,1.0,1.0,1.0,1.0
Banking77Classification.v2,Classification,0.25,adaptive_precision,0.35473990589782634,0.6222030493390805,0.8726696691311836,0.09545959750160259,0.022184873949579874,0.9142857142857144,0.9937138823909011,0.9523809523809524,0.9428571428571428
Banking77Classification.v2,Classification,0.25,fixed_precision,0.34252684027077657,0.6188480013316678,0.8621901163872016,0.10309750414941023,0.036974789915966456,0.8571428571428571,0.99364120351698,0.9619047619047619,1.0
Banking77Classification.v2,Classification,0.25,no_precision,0.35075881448448815,0.6223002714733578,0.8660317437619093,0.10309750414941023,0.036974789915966456,0.8571428571428571,0.9934208586444612,0.9476190476190476,1.0
Banking77Classification.v2,Classification,0.25,shuffled_precision,0.3425702017432974,0.619127563544726,0.864969878768647,0.09544761647156681,0.03564369747899166,0.8622857142857142,0.9938247104448347,0.9528979591836736,0.9845714285714285
Banking77Classification.v2,Classification,0.5,adaptive_precision,0.33168573715539107,0.6113027532335187,0.8581071391216123,0.10309750414941023,0.036974789915966456,0.8571428571428571,0.9986034834730487,0.9714285714285714,1.0
Banking77Classification.v2,Classification,0.5,fixed_precision,0.33946917398900894,0.6166529194096234,0.8572963005843971,0.10309750414941023,0.036974789915966456,0.8571428571428571,0.9944538753172294,0.9714285714285714,1.0
Banking77Classification.v2,Classification,0.5,no_precision,0.3421308956007702,0.6178176431955077,0.8583305871232693,0.10309750414941023,0.036974789915966456,0.8571428571428571,0.9955345337891923,0.9714285714285714,1.0
Banking77Classification.v2,Classification,0.5,shuffled_precision,0.3317157189783204,0.6134515684079604,0.8568656908524265,0.1067360571354963,0.03342521008403367,0.8708571428571429,0.996411050936641,0.9637959183673469,0.9842857142857142
Banking77Classification.v2,Classification,0.75,adaptive_precision,0.34768467659591223,0.6225337334269563,0.8530541736015659,0.13671094952756152,0.036974789915966456,0.8571428571428571,0.9980689372739062,0.9714285714285714,1.0
Banking77Classification.v2,Classification,0.75,fixed_precision,0.3410642655002804,0.6175679497717528,0.8585649403897472,0.10309750414941023,0.036974789915966456,0.8571428571428571,0.9959833458466999,0.9714285714285714,1.0
Banking77Classification.v2,Classification,0.75,no_precision,0.34271618905388285,0.6184671479815311,0.8596538379448833,0.10309750414941023,0.036974789915966456,0.8571428571428571,0.9962784110299638,0.980952380952381,1.0
Banking77Classification.v2,Classification,0.75,shuffled_precision,0.3316193714939664,0.6123452523377634,0.8610786065125623,0.10840876132554803,0.032685714285714346,0.8737142857142857,0.9980908716128593,0.9847619047619048,0.992
Banking77Classification.v2,Classification,1.0,adaptive_precision,0.3470034721119445,0.620807239768722,0.8614213202258068,0.10309750414941023,0.036974789915966456,0.8571428571428571,1.0,1.0,1.0
Banking77Classification.v2,Classification,1.0,fixed_precision,0.3470034721119445,0.620807239768722,0.8614213202258068,0.10309750414941023,0.036974789915966456,0.8571428571428571,1.0,1.0,1.0
Banking77Classification.v2,Classification,1.0,no_precision,0.348506787600937,0.6218142873286706,0.8614213202258068,0.10309750414941023,0.036974789915966456,0.8571428571428571,1.0,1.0,1.0
Banking77Classification.v2,Classification,1.0,shuffled_precision,0.3470034721119445,0.620807239768722,0.8614213202258066,0.10309750414941024,0.036974789915966456,0.8571428571428571,1.0,1.0,1.0
BiorxivClusteringP2P.v2,Clustering,0.25,adaptive_precision,0.31946616116802456,0.6164508576309818,0.8018811263448027,0.09496643190382074,0.0,1.0,0.994761418705518,0.9333333333333333,1.0
BiorxivClusteringP2P.v2,Clustering,0.25,fixed_precision,0.27868125663156723,0.5970843400905512,0.7942227585355104,0.09496643190382074,0.0,1.0,0.9923485396590986,0.9047619047619048,1.0
BiorxivClusteringP2P.v2,Clustering,0.25,no_precision,0.28626110535427307,0.5993813763875876,0.8026964681371299,0.09496643190382074,0.0,1.0,0.9937484254875558,0.9333333333333333,1.0
BiorxivClusteringP2P.v2,Clustering,0.25,shuffled_precision,0.29098609440249196,0.6021636444714706,0.7931331271176515,0.0996209178384971,0.0,1.0,0.9955819103877489,0.9546666666666667,0.9822857142857142
BiorxivClusteringP2P.v2,Clustering,0.5,adaptive_precision,0.3138717679835693,0.6142068697348201,0.7995628856987064,0.1037610379818185,0.0,1.0,0.9957902408150856,0.9571428571428572,0.9142857142857144
BiorxivClusteringP2P.v2,Clustering,0.5,fixed_precision,0.2693481921804904,0.5935579534337299,0.7890868666285352,0.09496643190382074,0.0,1.0,0.9950454080081409,0.9619047619047619,1.0
BiorxivClusteringP2P.v2,Clustering,0.5,no_precision,0.27141349333895926,0.5942973010426427,0.7906744960358593,0.09496643190382074,0.0,1.0,0.9950739695087522,0.9523809523809524,1.0
BiorxivClusteringP2P.v2,Clustering,0.5,shuffled_precision,0.2807744784408138,0.5996985567641469,0.7860026318717434,0.09733957478809739,0.0,1.0,0.9964703613157029,0.9613333333333333,0.9925714285714287
BiorxivClusteringP2P.v2,Clustering,0.75,adaptive_precision,0.2950204081632654,0.6120453500950395,0.7823885983873933,0.09496643190382074,0.0,1.0,0.9975556865494754,1.0,1.0
BiorxivClusteringP2P.v2,Clustering,0.75,fixed_precision,0.2601733049559137,0.5891591059044475,0.7708508966689432,0.10669257334115108,0.0,1.0,0.9959539466744436,0.9619047619047619,0.9428571428571428
BiorxivClusteringP2P.v2,Clustering,0.75,no_precision,0.2597856181085995,0.5890903051399946,0.7728886996777963,0.09789796726315332,0.0,1.0,0.996449749008755,0.9619047619047619,0.9428571428571428
BiorxivClusteringP2P.v2,Clustering,0.75,shuffled_precision,0.2754295739043565,0.5975275548468095,0.774601206440623,0.1301368014819112,0.0,1.0,0.9982738033395177,0.9773333333333333,0.9742857142857143
BiorxivClusteringP2P.v2,Clustering,1.0,adaptive_precision,0.25613771321845863,0.5895855490265428,0.7655549080395618,0.10962410870048367,0.0,1.0,1.0,1.0,1.0
BiorxivClusteringP2P.v2,Clustering,1.0,fixed_precision,0.25613771321845863,0.5895855490265428,0.7655549080395618,0.10962410870048367,0.0,1.0,1.0,1.0,1.0
BiorxivClusteringP2P.v2,Clustering,1.0,no_precision,0.25861945507908246,0.5885917602066671,0.7663444307835767,0.10962410870048367,0.0,1.0,1.0,1.0,1.0
BiorxivClusteringP2P.v2,Clustering,1.0,shuffled_precision,0.2561377132184586,0.5895855490265428,0.7655549080395618,0.10962410870048367,0.0,1.0,1.0,1.0,1.0
EmotionClassification.v2,Classification,0.25,adaptive_precision,0.5687485363313286,0.7288410581424137,0.7624452020832674,0.3308754415722984,0.06892967713401135,0.7714285714285715,0.9836170103188737,0.9476190476190477,0.9142857142857144
EmotionClassification.v2,Classification,0.25,fixed_precision,0.5731065313765107,0.728312362233113,0.7577628231708573,0.3417187262545923,0.07720035382574068,0.7428571428571429,0.9903274241286664,0.9190476190476191,0.9428571428571428
EmotionClassification.v2,Classification,0.25,no_precision,0.5819434990663914,0.7332648379155158,0.7659816292103815,0.34221997938742443,0.0523883237505527,0.8285714285714285,0.9888082476529682,0.9047619047619049,1.0
EmotionClassification.v2,Classification,0.25,shuffled_precision,0.5691709127474676,0.7266702581226043,0.7630679803172619,0.34585052634304875,0.05205572755417946,0.8274285714285714,0.9881543928121568,0.9412244897959183,0.9422857142857143
EmotionClassification.v2,Classification,0.5,adaptive_precision,0.5501137029150132,0.718835150232439,0.7496865702814214,0.34221997938742443,0.08547103051747003,0.7142857142857143,0.9961046903407152,0.980952380952381,1.0
EmotionClassification.v2,Classification,0.5,fixed_precision,0.5615399418205087,0.7230695580382756,0.7503529327456852,0.3402149668560961,0.08547103051747003,0.7142857142857143,0.9950134958209492,0.980952380952381,0.9428571428571428
EmotionClassification.v2,Classification,0.5,no_precision,0.5642077088361017,0.7243524600511044,0.7516296336964794,0.34221997938742443,0.08547103051747003,0.7142857142857143,0.9966362209219353,0.980952380952381,1.0
EmotionClassification.v2,Classification,0.5,shuffled_precision,0.5587523087247717,0.7234275522868849,0.7487831440531663,0.35409651608020004,0.08045289694825286,0.7308571428571428,0.9961677604383194,0.9711428571428572,0.9454285714285715
EmotionClassification.v2,Classification,0.75,adaptive_precision,0.5792444619364397,0.7299858442715585,0.7515589902451154,0.34221997938742443,0.08547103051747003,0.7142857142857143,0.9985319773394308,1.0,1.0
EmotionClassification.v2,Classification,0.75,fixed_precision,0.5560057477219897,0.7207302322943615,0.7492008256238674,0.33971371372326403,0.08547103051747003,0.7142857142857143,0.9984389523519959,1.0,1.0
EmotionClassification.v2,Classification,0.75,no_precision,0.5611001315989823,0.7231166050456979,0.7510748456896045,0.34221997938742443,0.08547103051747003,0.7142857142857143,0.9983136863136863,1.0,1.0
EmotionClassification.v2,Classification,0.75,shuffled_precision,0.5475787852270367,0.716123944981922,0.7430874208170632,0.34973362022576315,0.08180937638213168,0.7262857142857142,0.9981226420784185,0.992,0.9845714285714285
EmotionClassification.v2,Classification,1.0,adaptive_precision,0.5488224939497746,0.7176619695910623,0.7464130734284479,0.33971371372326403,0.08547103051747003,0.7142857142857143,1.0,1.0,1.0
EmotionClassification.v2,Classification,1.0,fixed_precision,0.5488224939497746,0.7176619695910623,0.7464130734284479,0.33971371372326403,0.08547103051747003,0.7142857142857143,1.0,1.0,1.0
EmotionClassification.v2,Classification,1.0,no_precision,0.5588125039397845,0.7219909739200668,0.7506357312512446,0.34221997938742443,0.08547103051747003,0.7142857142857143,1.0,1.0,1.0
EmotionClassification.v2,Classification,1.0,shuffled_precision,0.5488224939497746,0.7176619695910623,0.7464130734284479,0.33971371372326403,0.08547103051747003,0.7142857142857143,1.0,1.0,1.0
HUMEEmotionClassification,Classification,0.25,adaptive_precision,0.1737695980397909,0.5779094756095721,0.6159668454107342,0.4108843537414965,0.12018140589569166,0.5714285714285714,0.9694121592693021,0.9333333333333333,0.9428571428571428
HUMEEmotionClassification,Classification,0.25,fixed_precision,0.18795497010496512,0.5818356084074503,0.6111094376263766,0.4108843537414965,0.12426303854875287,0.5428571428571428,0.9773034170798146,0.9333333333333333,0.9428571428571428
HUMEEmotionClassification,Classification,0.25,no_precision,0.18666944732663168,0.5810208311992303,0.6124517396907929,0.4108843537414965,0.12018140589569166,0.5714285714285714,0.9740167472279274,0.9380952380952381,0.9428571428571428
HUMEEmotionClassification,Classification,0.25,shuffled_precision,0.18599754929572465,0.5821230685311688,0.6209626399288288,0.39813605442176864,0.11724263038548755,0.5582857142857143,0.9770310972257557,0.9222993197278911,0.8897142857142857
HUMEEmotionClassification,Classification,0.5,adaptive_precision,0.19253418834179922,0.590069142258149,0.6162320840584715,0.40770975056689335,0.12018140589569166,0.5714285714285714,0.9889640545789614,1.0,0.9428571428571428
HUMEEmotionClassification,Classification,0.5,fixed_precision,0.2060214266475291,0.5956786532871393,0.6209798935812654,0.42993197278911566,0.12018140589569166,0.5714285714285714,0.9949382480873165,0.9714285714285714,1.0
HUMEEmotionClassification,Classification,0.5,no_precision,0.18493709364759076,0.586284583304834,0.6081678454254958,0.42993197278911566,0.12018140589569166,0.5714285714285714,0.9903272193644865,0.9714285714285714,1.0
HUMEEmotionClassification,Classification,0.5,shuffled_precision,0.1974260027966907,0.5893099691693713,0.6256593634595486,0.3913741496598639,0.11536507936507936,0.5702857142857143,0.9914171138178591,0.9561088435374149,0.9548571428571427
HUMEEmotionClassification,Classification,0.75,adaptive_precision,0.18213723846445737,0.5881170495635298,0.6249551191414346,0.42993197278911566,0.12018140589569166,0.5714285714285714,0.9964703247063496,0.9523809523809524,1.0
HUMEEmotionClassification,Classification,0.75,fixed_precision,0.20493244185082762,0.5968469910032109,0.6199618379241725,0.42993197278911566,0.12018140589569166,0.5714285714285714,0.995837752309802,1.0,1.0
HUMEEmotionClassification,Classification,0.75,no_precision,0.20847547059856453,0.5965950207512406,0.6223215086918016,0.42993197278911566,0.12018140589569166,0.5714285714285714,0.9958303559794244,0.9666666666666667,1.0
HUMEEmotionClassification,Classification,0.75,shuffled_precision,0.20125046436772748,0.5941425868677557,0.6280991919559327,0.3790839002267573,0.12026303854875288,0.5685714285714286,0.9938984249291082,0.9793333333333333,0.9782857142857143
HUMEEmotionClassification,Classification,1.0,adaptive_precision,0.20799940195565023,0.5986923314551087,0.6336837150597182,0.327891156462585,0.12018140589569166,0.5714285714285714,1.0,1.0,1.0
HUMEEmotionClassification,Classification,1.0,fixed_precision,0.20799940195565023,0.5986923314551087,0.6336837150597182,0.327891156462585,0.12018140589569166,0.5714285714285714,1.0,1.0,1.0
HUMEEmotionClassification,Classification,1.0,no_precision,0.2059565093685579,0.5967054294682067,0.6207639101414772,0.42993197278911566,0.12018140589569166,0.5714285714285714,1.0,1.0,1.0
HUMEEmotionClassification,Classification,1.0,shuffled_precision,0.20799940195565023,0.5986923314551087,0.6336837150597182,0.327891156462585,0.12018140589569166,0.5714285714285714,1.0,1.0,1.0
LegalBenchPC,PairClassification,0.25,adaptive_precision,0.49902908271852375,0.6802824380588356,0.8243841645130122,0.16400654538211884,0.015068802658425291,0.8571428571428571,0.986544722358387,0.9108843537414966,0.8857142857142858
LegalBenchPC,PairClassification,0.25,fixed_precision,0.5034842548755593,0.683044454510293,0.8088384980846376,0.16400654538211884,0.014077141163738956,0.8571428571428571,0.98932195754556,0.9360544217687075,0.8857142857142858
LegalBenchPC,PairClassification,0.25,no_precision,0.5072973610240692,0.6838512129692254,0.8227049197950663,0.16400654538211884,0.015068802658425291,0.8571428571428571,0.9874244513250725,0.9170068027210884,0.8857142857142858
LegalBenchPC,PairClassification,0.25,shuffled_precision,0.49864263785903545,0.6789971664774149,0.8095940044854527,0.16160469806685354,0.016169455863624053,0.86,0.9878022958408053,0.9158639455782314,0.8957142857142857
LegalBenchPC,PairClassification,0.5,adaptive_precision,0.5058360645565615,0.6805765497442516,0.8207552130348557,0.18275892787371953,0.019946622078664076,0.8571428571428571,0.9931720329360081,0.9142857142857144,0.9428571428571428
LegalBenchPC,PairClassification,0.5,fixed_precision,0.507550424730549,0.6851498108516741,0.803195058480501,0.18035444064927,0.014077141163738956,0.8571428571428571,0.9950721452460584,0.9523809523809523,0.9428571428571428
LegalBenchPC,PairClassification,0.5,no_precision,0.508939644206725,0.6865768765396094,0.8096008411572088,0.1795155419706933,0.014077141163738956,0.8571428571428571,0.9962536593840942,0.9142857142857144,1.0
LegalBenchPC,PairClassification,0.5,shuffled_precision,0.49430927705834543,0.678473134732762,0.8022596579469382,0.1844913614441919,0.01677710238460451,0.8571428571428571,0.9948064977258767,0.970952380952381,0.9259999999999999
LegalBenchPC,PairClassification,0.75,adaptive_precision,0.4016453732602801,0.6383561862568073,0.7586527442982341,0.18192002919514283,0.04639953022242355,0.8571428571428571,0.9937722650020788,0.9714285714285714,1.0
