task,probe_family,n_candidates,shortlist_size,effective_evaluation_count,exhaustive_evaluator_s,harmora_screen_all_s,shortlist_evaluator_s,hybrid_total_s,hybrid_speedup,harmora_to_mean_evaluator_ratio,break_even,shortlisted_candidates
ArXivHierarchicalClusteringP2P,clustering,106,5,4,310.36686360019667,4.997332299943082,16.701702299993485,21.699034599936567,14.303256772589505,0.0161013719118561,True,bge_base_en_v15:L12; e5_large_v2:L23; bge_large_en_v15:L24; bge_large_en_v15:L20; bge_large_en_v15:L19
ArXivHierarchicalClusteringS2S,clustering,106,5,4,310.7138737998903,5.117921800003387,15.652909099997489,20.770830900000878,14.959145124997248,0.0164714942960657,True,bge_large_en_v15:L24; bge_base_en_v15:L12; e5_large_v2:L23; bge_base_en_v15:L11; bge_large_en_v15:L21
Banking77Classification.v2,classification,106,5,4,39.5165553005063,4.989573799946811,1.764426900044782,6.754000699991593,5.850836719717172,0.1262654034999575,True,bge_large_en_v15:L24; bge_base_en_v15:L12; e5_large_v2:L23; bge_large_en_v15:L20; bge_base_en_v15:L11
BiorxivClusteringP2P.v2,clustering,106,5,4,74.42605639988324,5.01491169971996,4.004143800004385,9.019055499724344,8.252089855989684,0.0673811288989352,True,bge_base_en_v15:L12; bge_large_en_v15:L16; e5_large_v2:L23; bge_large_en_v15:L24; bge_large_en_v15:L18
EmotionClassification.v2,classification,106,5,4,21.444000100251287,5.063084700144827,0.9451581999892368,6.008242900134064,3.5690967320533598,0.2361072876550442,True,e5_large_v2:L23; bge_base_en_v15:L12; bge_large_en_v15:L21; bge_large_en_v15:L24; bge_large_en_v15:L20
HUMEEmotionClassification,classification,106,5,4,3.211111300101038,0.1241125998785719,0.1272491999261547,0.2513617998047266,12.774858003863864,0.0386509803863437,True,e5_large_v2:L23; bge_base_en_v15:L12; bge_large_en_v15:L24; e5_large_v2:L24; bge_large_en_v15:L21
LegalBenchPC,pair_classification,106,5,1,0.5959370001219213,20.66123389996937,0.0327509999915491,20.693984899960924,0.0287975951950678,34.670164624351806,False,bge_large_en_v15:L20; e5_large_v2:L23; bge_large_en_v15:L19; bge_large_en_v15:L15; bge_large_en_v15:L21
SICK-R,sts,106,5,1,0.517941000056453,20.660546100058127,0.0265605000022333,20.68710660006036,0.0250368990729202,39.88976755616224,False,e5_large_v2:L23; bge_base_en_v15:L12; bge_large_en_v15:L24; e5_large_v2:L24; bge_base_en_v15:L11
STS15,sts,106,5,1,0.5261234001372941,20.683087000157684,0.0288873999379575,20.71197440009564,0.0254018950571349,39.3122354846037,False,e5_large_v2:L23; bge_large_en_v15:L20; bge_large_en_v15:L21; bge_base_en_v15:L12; bge_large_en_v15:L19
STS16,sts,106,5,1,0.4993837000220082,20.31029389993637,0.027089099981822,20.33738299991819,0.0245549636363743,40.67071852573738,False,bge_large_en_v15:L20; e5_large_v2:L23; bge_large_en_v15:L19; bge_large_en_v15:L21; bge_base_en_v15:L7
STSBenchmark,sts,106,5,1,0.4810224999673664,20.03724139987025,0.0257809999748133,20.063022399845067,0.0239755750843941,41.655517987681705,False,e5_large_v2:L23; bge_large_en_v15:L20; bge_large_en_v15:L21; bge_base_en_v15:L12; bge_large_en_v15:L19
