family,task,fixed_K,fixed_alignment,fixed_seed_variance,best_displayed_K,best_displayed_alignment,gap_to_best_displayed
Classification,Banking77Classification.v2,10,0.3468321542223275,0.01170676334439611,40,0.35948517368303584,0.012653019460708348
Classification,EmotionClassification.v2,10,0.44478142865416515,0.03017410868327558,47,0.48389729960030115,0.039115870946136
Classification,HUMEEmotionClassification,10,0.15405080313136676,0.05579629382421993,8,0.15627173110695977,0.0022209279755930067
Clustering,ArXivHierarchicalClusteringP2P,10,0.4682986423514374,0.001844781351443209,29,0.5143810847537557,0.046082442402318236
Clustering,ArXivHierarchicalClusteringS2S,10,0.6439638932496076,0.001792028410129256,2,0.6720921469834513,0.028128253733843755
Clustering,BiorxivClusteringP2P.v2,10,0.2756609849777552,0.00042754324592272815,46,0.31095451132718216,0.03529352634942695
Pair classification,LegalBenchPC,10,0.49216398508323983,0.0,44,0.5184692326307234,0.02630524754748359
Semantic textual similarity,SICK-R,10,0.6928441744590813,0.0,46,0.7095954976700318,0.01675132321095052
Semantic textual similarity,STS15,10,0.24201587232643135,0.0,47,0.3355557485992269,0.09353987627279553
Semantic textual similarity,STS16,10,0.5321920936206651,0.0,47,0.6256619157240275,0.09346982210336241
Semantic textual similarity,STSBenchmark,10,0.4634518276754302,0.0,36,0.5301262712442837,0.06667444356885349
