K,family,mean_spearman,seed_variance,n_seeds,n_tasks
1,Classification,0.2295479196362534,0.013445596658091611,4,3
1,Clustering,0.4092826531646408,0.0002360679101820338,4,3
1,Pair classification,0.29516719305539185,0.0,4,1
1,Semantic textual similarity,0.4018425828829556,0.0,4,4
2,Classification,0.2701188311336278,0.014823362454832956,4,3
2,Clustering,0.4499220758537529,0.0001834069055026052,4,3
2,Pair classification,0.33919881360875154,0.0,4,1
2,Semantic textual similarity,0.40439689192794787,0.0,4,4
3,Classification,0.27410651414696824,0.01595506591522784,4,3
3,Clustering,0.45235404347205593,0.00010714101412108327,4,3
3,Pair classification,0.401894192763758,0.0,4,1
3,Semantic textual similarity,0.4152968615235696,0.0,4,4
4,Classification,0.2857998490042547,0.016376797206817714,4,3
4,Clustering,0.4491065042617838,8.208521847360963e-05,4,3
4,Pair classification,0.4575876297615428,0.0,4,1
4,Semantic textual similarity,0.4320631542370673,0.0,4,4
5,Classification,0.28474248254943146,0.016211777270576006,4,3
5,Clustering,0.454548200246958,0.00014571652932888855,4,3
5,Pair classification,0.4622210088048598,0.0,4,1
5,Semantic textual similarity,0.44436735624623824,0.0,4,4
6,Classification,0.29861113463744887,0.016631995055972248,4,3
6,Clustering,0.45586527861372583,0.0001142386510505903,4,3
6,Pair classification,0.4748254850739323,0.0,4,1
6,Semantic textual similarity,0.4551820849957496,0.0,4,4
7,Classification,0.3013907302017971,0.016405339206626943,4,3
7,Clustering,0.4569109358550353,9.331700486124589e-05,4,3
7,Pair classification,0.49067193675889337,0.0,4,1
7,Semantic textual similarity,0.4602953878419717,0.0,4,4
8,Classification,0.30908380222377496,0.01641965141923136,4,3
8,Clustering,0.4580192323204746,8.623688273558742e-05,4,3
8,Pair classification,0.4928233257425805,0.0,4,1
8,Semantic textual similarity,0.462592361055094,0.0,4,4
9,Classification,0.3121513857620203,0.016081090046004002,4,3
9,Clustering,0.46023980160626127,9.050564516452013e-05,4,3
9,Pair classification,0.49216398508323983,0.0,4,1
9,Semantic textual similarity,0.47942614838577574,0.0,4,4
10,Classification,0.31522146200261986,0.01617692969299812,4,3
10,Clustering,0.4626411735262667,8.977816877550229e-05,4,3
10,Pair classification,0.49216398508323983,0.0,4,1
10,Semantic textual similarity,0.482625992020402,0.0,4,4
11,Classification,0.3155923869841527,0.01613333205686483,4,3
11,Clustering,0.4642237576088508,8.542946786327182e-05,4,3
11,Pair classification,0.49216398508323983,0.0,4,1
11,Semantic textual similarity,0.48747918230837484,0.0,4,4
12,Classification,0.31496120207802303,0.01660358696174216,4,3
12,Clustering,0.46443250331449093,7.53142638076882e-05,4,3
12,Pair classification,0.4977592593741663,0.0,4,1
12,Semantic textual similarity,0.4907093217341665,0.0,4,4
13,Classification,0.31677120387512553,0.01683638077527472,4,3
13,Clustering,0.4645455786449576,7.742374164133402e-05,4,3
13,Pair classification,0.5047522663671733,0.0,4,1
13,Semantic textual similarity,0.5078995073249732,0.0,4,4
14,Classification,0.31763427714999326,0.01687389727662716,4,3
14,Clustering,0.4640614251173258,8.274750071569016e-05,4,3
14,Pair classification,0.5047522663671733,0.0,4,1
14,Semantic textual similarity,0.5115712082948107,0.0,4,4
15,Classification,0.3177064478009836,0.01681775170217548,4,3
15,Clustering,0.46346618702208764,8.060774098429887e-05,4,3
15,Pair classification,0.5077336328268006,0.0,4,1
15,Semantic textual similarity,0.5153987782403932,0.0,4,4
16,Classification,0.3177243090682305,0.016787977877229385,4,3
16,Clustering,0.4675216553632703,7.812288095680358e-05,4,3
16,Pair classification,0.5087326338258016,0.0,4,1
