metric,family,pearson_mean,pearson_variance,spearman_mean,spearman_variance,kendall_mean,kendall_variance,distance_mean,distance_variance,n_seeds,n_tasks,family_mean,family_variance,family_q1,family_median,family_q3,family_min,family_max,n_model_task_cases
Anisotropy,Cluster-organized,0.20292670476381514,0.00023377787558052424,0.1375340136054422,0.0004718203920360969,0.10027142629627103,0.0002204971172846662,0.6517133145621417,0.00036367035561130816,4,3,0.1375340136054422,0.0004718203920360969,-0.19642857142857145,0.07692307692307687,0.44580419580419584,-0.7472527472527473,0.9230769230769232,21
Curvature,Cluster-organized,-0.10122958264907449,0.00022263766232591918,-0.07953418217393372,0.00019304374509792883,-0.06232951313696655,6.488846696192908e-05,0.5371987265314286,0.00010905281935653196,4,3,-0.07953418217393372,0.00019304374509792883,-0.3741258741258741,-0.0982142857142857,0.04673076923076923,-0.6884782608695652,0.7225274725274725,21
DiME,Cluster-organized,0.12673036486851413,7.671002125817549e-05,0.1548823846960493,0.00016694128027197564,0.12586566642467262,7.840019551581175e-05,0.6611984087841813,0.0002698181067046203,4,3,0.1548823846960493,0.00016694128027197564,-0.17365384615384608,0.10139860139860138,0.5716783216783217,-0.853021978021978,0.8706293706293707,21
Harmora,Cluster-organized,0.5727335281481781,2.9674440455883193e-05,0.4626411735262667,8.977816877550229e-05,0.3689728422026558,0.00016832903837056028,0.6908434173008814,4.474433181281969e-05,4,3,0.4626411735262667,8.977816877550229e-05,0.2589285714285715,0.5892857142857144,0.7046703296703297,-0.4769565217391304,0.8763736263736264,21
InfoNCE,Cluster-organized,0.19857416846125303,0.00022789100284602062,0.13016703793101309,0.0004651327762347831,0.09630051797753661,0.0002218388396333799,0.6577695732178832,0.00037906559809688543,4,3,0.13016703793101309,0.0004651327762347831,-0.19653846153846152,0.07692307692307687,0.49475524475524474,-0.7472527472527473,0.9230769230769232,21
LiDAR,Cluster-organized,-0.017423905764448612,0.00025142762401711313,-0.0036023241768583184,0.00018914306280823435,-0.00933126914493373,5.41495376920033e-05,0.606771165045664,0.0001913403913050109,4,3,-0.0036023241768583184,0.00018914306280823435,-0.3839285714285715,-0.1703296703296703,0.5157342657342658,-0.9375000000000001,0.9230769230769232,21
Matrix entropy,Cluster-organized,0.19068537554741802,0.0002357034680404022,0.11669726236496425,0.0004443087036224303,0.08224510479168864,0.00023303727984990484,0.655913156085172,0.00037132975393438524,4,3,0.11669726236496425,0.0004443087036224303,-0.21269230769230763,0.0664335664335664,0.49475524475524474,-0.7596153846153846,0.9230769230769232,21
Participation ratio,Cluster-organized,0.2939363206430472,9.6572039999835e-05,0.11014858330075722,1.2948791337709879e-05,0.05930652508292259,7.721617473808098e-05,0.689879578987862,0.00020753842363958265,4,3,0.11014858330075722,1.2948791337709879e-05,-0.3871153846153846,0.16978260869565212,0.5244755244755246,-0.8125000000000002,0.9020979020979022,21
Spectral gap,Cluster-organized,0.2952562273775579,0.0001030606707082388,0.18634572466870605,8.779717647871973e-05,0.12203178464048027,0.00014459946894818156,0.6575592145045042,9.256188721595008e-05,4,3,0.18634572466870605,8.779717647871973e-05,-0.1640384615384615,0.13434782608695645,0.6147826086956522,-0.8125000000000002,0.7430069930069931,21
Anisotropy,Core class-organized,0.3714473180131453,0.00037417793020626163,0.3020342865196519,0.001002373948141234,0.23773996200450698,0.00043353337203739096,0.6023420503796756,6.519734571379022e-05,4,3,0.3020342865196519,0.001002373948141234,0.05987292701941953,0.2740586973366881,0.45798129872297305,-0.18225110060139477,0.8673143041258964,21
