metric,task,model,seed,pearson,spearman,kendall,distance,family
Anisotropy,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,0.706751979956453,0.4755244755244756,0.3636363636363636,0.7148010017399327,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,0.6818554871740159,0.4335664335664336,0.303030303030303,0.7185657525316985,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,0.6458462234995896,0.4475524475524475,0.3333333333333333,0.6909688869397946,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,0.771679225604315,0.4265734265734266,0.303030303030303,0.790860702558804,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,-0.2307819760191458,-0.2307692307692307,-0.1515151515151515,0.3958605741322257,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,-0.3361634637480121,-0.4475524475524475,-0.2727272727272727,0.4724470169702971,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,-0.3803496760833041,-0.3986013986013986,-0.2424242424242424,0.4619676146608715,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,-0.2794634786374859,-0.4195804195804196,-0.2727272727272727,0.4708929252845645,Cluster-organized
DiME,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,0.6873133603266632,0.5174825174825175,0.3939393939393938,0.6995305026572679,Cluster-organized
DiME,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,0.6783816468819863,0.4825174825174825,0.3333333333333333,0.7142719249609867,Cluster-organized
DiME,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,0.6511464076205943,0.4965034965034965,0.3636363636363636,0.6918819064236934,Cluster-organized
DiME,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,0.7679579110022821,0.4825174825174825,0.3333333333333333,0.7833998720329544,Cluster-organized
Harmora,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,0.3256627041241554,0.2937062937062937,0.2424242424242424,0.4258949153911615,Cluster-organized
Harmora,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,0.3171988307802844,0.2447552447552448,0.1818181818181818,0.410827766290483,Cluster-organized
Harmora,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,0.3289617492913951,0.2587412587412587,0.2121212121212121,0.4278190852184991,Cluster-organized
Harmora,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,0.4005302265017116,0.2377622377622378,0.1818181818181818,0.4524577232620867,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,0.7223944259996479,0.5174825174825175,0.3939393939393938,0.7285580205886883,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,0.698713194731652,0.4825174825174825,0.3333333333333333,0.733484579639103,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,0.6626562457298437,0.4965034965034965,0.3636363636363636,0.7056823377812678,Cluster-organized
InfoNCE,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,0.7869955528815213,0.4825174825174825,0.3333333333333333,0.8057944441374703,Cluster-organized
LiDAR,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,0.459150101123105,0.4965034965034965,0.3636363636363636,0.5309320446843772,Cluster-organized
LiDAR,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,0.4743508401379176,0.5244755244755246,0.4242424242424242,0.5256423513737356,Cluster-organized
LiDAR,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,0.5030460430726875,0.5174825174825175,0.3939393939393938,0.5511992738754162,Cluster-organized
LiDAR,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,0.5162505267431723,0.5244755244755246,0.4242424242424242,0.5555610560065948,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,0.7101917703706354,0.5174825174825175,0.3939393939393938,0.72225444399011,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,0.6907205989484028,0.4825174825174825,0.3333333333333333,0.7295847337552783,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,0.656546076711104,0.4965034965034965,0.3636363636363636,0.7044991366949138,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,0.7811418771027216,0.4825174825174825,0.3333333333333333,0.8003949418282112,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,0.7933114742212948,0.5174825174825175,0.3939393939393938,0.7938135419877453,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,0.8093114309237537,0.5314685314685316,0.3939393939393938,0.8225714460398725,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,0.7697057495916779,0.5104895104895105,0.3636363636363636,0.8030674217898082,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,0.8792423943911721,0.5244755244755246,0.3939393939393938,0.882228526613799,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringP2P,bge_base_en_v15,11,0.6736015413327181,0.4755244755244756,0.3333333333333333,0.7401278654164781,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringP2P,bge_base_en_v15,22,0.7063664040573945,0.5804195804195805,0.4545454545454545,0.7610498837478553,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringP2P,bge_base_en_v15,33,0.6856570594243393,0.5524475524475525,0.4242424242424242,0.7652714843820634,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringP2P,bge_base_en_v15,44,0.757860917701479,0.5594405594405596,0.4545454545454545,0.8000355899437521,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,bge_large_en_v15,11,0.312649027429652,-0.0478260869565217,-0.0579710144927536,0.5444453939707198,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,bge_large_en_v15,22,0.2351525981497114,-0.0234782608695652,-0.036231884057971,0.4946711174478662,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,bge_large_en_v15,33,0.2381332309901852,-0.0347826086956521,-0.0217391304347826,0.5341891036700923,Cluster-organized
Anisotropy,ArXivHierarchicalClusteringP2P,bge_large_en_v15,44,0.2905099434831595,-0.077391304347826,-0.1014492753623188,0.583095858042521,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,bge_large_en_v15,11,-0.5863050767035873,-0.7078260869565216,-0.5217391304347826,0.7388721120973826,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,bge_large_en_v15,22,-0.6295447939714751,-0.6652173913043479,-0.4710144927536232,0.7152433589888064,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,bge_large_en_v15,33,-0.6322836497938228,-0.7095652173913043,-0.5289855072463768,0.7580930439756128,Cluster-organized
Curvature,ArXivHierarchicalClusteringP2P,bge_large_en_v15,44,-0.5875505222099011,-0.6713043478260868,-0.4782608695652174,0.7375475566166286,Cluster-organized
