metric,family,task,pearson,spearman,kendall,distance,n_models
Anisotropy,Cluster-organized,ArXivHierarchicalClusteringP2P,0.2420490443830317,0.1407795155155404,0.11113926446224585,0.5946395991206488,7
Curvature,Cluster-organized,ArXivHierarchicalClusteringP2P,-0.21656700430254544,-0.22382214059232694,-0.17688478188478188,0.6142713941794875,7
DiME,Cluster-organized,ArXivHierarchicalClusteringP2P,-0.04480582275116131,0.03317316224148524,0.0324535609318218,0.6282598473422969,7
Harmora,Cluster-organized,ArXivHierarchicalClusteringP2P,0.5922614441162877,0.4682986423514374,0.3882670021489897,0.6760625690211147,7
InfoNCE,Cluster-organized,ArXivHierarchicalClusteringP2P,0.24425079879029682,0.15460379682429376,0.11896882620485107,0.6015747233405931,7
LiDAR,Cluster-organized,ArXivHierarchicalClusteringP2P,0.09489316336913858,0.10283354843913854,0.08231260457968534,0.5658967632462135,7
Matrix entropy,Cluster-organized,ArXivHierarchicalClusteringP2P,0.2481049032302403,0.1447420126457394,0.10770907146683546,0.6015117427114308,7
Participation ratio,Cluster-organized,ArXivHierarchicalClusteringP2P,0.5087704245984547,0.19576885847072184,0.13142328685806942,0.685806670992852,7
Spectral gap,Cluster-organized,ArXivHierarchicalClusteringP2P,0.47975984212866923,0.2892453509223696,0.2130339329407652,0.6566385741677588,7
Anisotropy,Cluster-organized,ArXivHierarchicalClusteringS2S,0.008636843865740929,0.08116205223348082,0.043546070906319366,0.7372030337087179,7
Curvature,Cluster-organized,ArXivHierarchicalClusteringS2S,0.021801065727177747,0.11016632435887094,0.09247021094847178,0.553982165054552,7
DiME,Cluster-organized,ArXivHierarchicalClusteringS2S,0.21674650678284504,0.281123162551734,0.2210804412978326,0.717168133347249,7
Harmora,Cluster-organized,ArXivHierarchicalClusteringS2S,0.7287818381748892,0.6439638932496076,0.5185098028265729,0.7247867739387125,7
InfoNCE,Cluster-organized,ArXivHierarchicalClusteringS2S,-0.02528948139905775,0.03343406593406595,0.015810473170721644,0.7479473892152608,7
LiDAR,Cluster-organized,ArXivHierarchicalClusteringS2S,-0.17518566165639562,-0.08817078883849071,-0.08545749281774126,0.7322537516565636,7
Matrix entropy,Cluster-organized,ArXivHierarchicalClusteringS2S,-0.018246545167766883,0.022845368916797497,0.0024405098007582726,0.745188358525071,7
Participation ratio,Cluster-organized,ArXivHierarchicalClusteringS2S,-0.07623176790264823,-0.13922177201680305,-0.15517663495924364,0.6977211335518453,7
Spectral gap,Cluster-organized,ArXivHierarchicalClusteringS2S,-0.01739932713452747,-0.05988883787020433,-0.08162134966482792,0.6493704223289168,7
Anisotropy,Cluster-organized,BiorxivClusteringP2P.v2,0.3580942260426728,0.19066047306730538,0.14612894352024783,0.6232973108570578,7
Curvature,Cluster-organized,BiorxivClusteringP2P.v2,-0.10892280937185575,-0.1249467302883452,-0.10257396847458956,0.44334262036024674,7
DiME,Cluster-organized,BiorxivClusteringP2P.v2,0.20825041057385868,0.15035082929492868,0.12406299704436348,0.6381672456629983,7
Harmora,Cluster-organized,BiorxivClusteringP2P.v2,0.3971573021533574,0.2756609849777552,0.20014172163240485,0.6716809089428167,7
InfoNCE,Cluster-organized,BiorxivClusteringP2P.v2,0.37676118799252006,0.2024632510346796,0.15412225455703712,0.6237866070977957,7
LiDAR,Cluster-organized,BiorxivClusteringP2P.v2,0.028020780993911237,-0.025469732131222785,-0.024848919196745273,0.5221629802342147,7
Matrix entropy,Cluster-organized,BiorxivClusteringP2P.v2,0.3421977685797807,0.18250440553235586,0.1365857331074722,0.6210393670190139,7
Participation ratio,Cluster-organized,BiorxivClusteringP2P.v2,0.4492703052333352,0.2738986634483529,0.20167292334994194,0.6861109324188887,7
Spectral gap,Cluster-organized,BiorxivClusteringP2P.v2,0.42340816713853197,0.32968066095395293,0.23468277064550355,0.6666686470168369,7
Anisotropy,Core class-organized,Banking77Classification.v2,0.5307032828887752,0.3563744303277578,0.28047618331698937,0.666604440867928,7
Curvature,Core class-organized,Banking77Classification.v2,0.8559858922520254,0.7245855968491812,0.6110989790572552,0.8449758667652622,7
DiME,Core class-organized,Banking77Classification.v2,0.327667122468251,0.2950471827595906,0.23573986977101566,0.6948129171649445,7
Harmora,Core class-organized,Banking77Classification.v2,0.47181810019677417,0.3468321542223275,0.24801356707565178,0.6354543854740007,7
InfoNCE,Core class-organized,Banking77Classification.v2,0.48427651743459565,0.3557872360160803,0.2772445880268543,0.6508206660126227,7
LiDAR,Core class-organized,Banking77Classification.v2,0.2791910891063723,0.38555159830196223,0.31082751681631043,0.5107722726543736,7
Matrix entropy,Core class-organized,Banking77Classification.v2,0.49691084535845353,0.34339528138112346,0.26863918033169953,0.660240479441559,7
Participation ratio,Core class-organized,Banking77Classification.v2,0.3509040287014852,0.36171645553968085,0.28606542644848204,0.6833526660279103,7
Spectral gap,Core class-organized,Banking77Classification.v2,0.36766205690569526,0.4470490364121574,0.3418896090019915,0.6429987078450108,7
Anisotropy,Core class-organized,EmotionClassification.v2,0.41884431887625023,0.3478035408529609,0.27173674487152183,0.6376547538418185,7
Curvature,Core class-organized,EmotionClassification.v2,-0.34599736309409923,-0.34510348751348,-0.25761393703673785,0.5749017520919136,7
DiME,Core class-organized,EmotionClassification.v2,0.15765047244233615,0.1971935210788439,0.1552273521097208,0.6546232689131735,7
Harmora,Core class-organized,EmotionClassification.v2,0.42757487775130076,0.4447814286541652,0.3445753735955496,0.5962768559445306,7
InfoNCE,Core class-organized,EmotionClassification.v2,0.4013133268908798,0.3252797462290828,0.2538242947425808,0.6402836721076454,7
LiDAR,Core class-organized,EmotionClassification.v2,0.10240509188681227,0.11281495711889848,0.10891157880378852,0.6139587698252003,7
Matrix entropy,Core class-organized,EmotionClassification.v2,0.4148183828101625,0.3382735656581672,0.25850981981625604,0.6399250426553558,7
Participation ratio,Core class-organized,EmotionClassification.v2,0.4839393719643162,0.33289148644165695,0.2525956120394724,0.6297651784174665,7
Spectral gap,Core class-organized,EmotionClassification.v2,0.4785092552702483,0.3872471926177421,0.30425831300077233,0.6267663895813269,7
Anisotropy,Core class-organized,HUMEEmotionClassification,0.16479435227441058,0.201924888378237,0.16100695782500973,0.5027669564292803,7
